AP Name,AP IP,AP Status
AP-1,192.168.123.1,KO
AP-2,192.168.123.2,OK
AP-3,192.168.123.3,OK
AP-4,192.168.123.4,KO
AP-5,192.168.123.5,KO
AP-6,192.168.123.6,KO
AP-7,192.168.123.7,KO
AP-8,192.168.123.8,KO
AP-9,192.168.123.9,KO
AP-10,192.168.123.10,OK
AP-11,192.168.123.11,KO
AP-12,192.168.123.12,KO
AP-13,192.168.123.13,KO
AP-14,192.168.123.14,KO
AP-15,192.168.123.15,KO
AP-16,192.168.123.16,OK
AP-17,192.168.123.17,OK
AP-18,192.168.123.18,OK
AP-19,192.168.123.19,OK
AP-20,192.168.123.20,OK
AP-21,192.168.123.21,OK
